ID	GLOSS	OMEGAWIKI
1	MAN	6397
2	WOMAN	4165
3	OLD OF HUMANS	5482
4	ALL	1173416
6	CHILD	568
9	BOY	5905
10	GIRL	6752
11	FATHER	5464
12	MOTHER	5463
13	SIBLING SAME SEX OLDER	1526616
14	SIBLING SAME SEX YOUNGER	1539816
15	SIBLING DIFFERENT SEX OLDER	1526616
16	SIBLING DIFFERENT SEX YOUNGER	1539816
24	I	5450
25	THOU	5459
26	HE	5454
28	YE	5459
29	THEY	352331
29	WE	5455
33	HEAD	5527
35	BRAINS	6504
37	FACE FOREHEAD	1241509
38	EAR	5510
39	EYE	5511
41	MOUTH	332000
42	NOSE	5471
44	TONGUE	5440
45	SALIVA	6259
46	TOOTH	5946
47	CHIN	6306
49	NECK	5823
50	THROAT	5861
51	NAPE	5862
53	BACK	5648
54	BUTTOCKS	356264
55	ARM	6894
57	ELBOW	422180
58	SHOULDER	6186
59	ARMPIT	818235
60	LEFT ARM	1499731
61	RIGHT ARM	436024
65	THUMB	7250
66	FINGERNAIL	5529
67	LEG	5665
68	UPPER LEG	1543636
70	CALF OF LEG	156660
71	KNEE	5918
72	BELLY	5516
73	STOMACH GUTS	5824
74	BREAST WOMAN	5992
75	CHEST	6532
77	NAVEL	7690
78	BLOOD	411
79	VEIN	8471
81	LIVER	5476
82	LUNG	334158
83	HEART	5475
84	BONE	5983
85	SKIN	3430
86	SWEAT	1250835
87	SORE	1103925
88	HAIR	446278
89	EXCREMENT	332137
90	URINE	504787
91	PENIS	5473
92	SHADOW	5966
93	NAME	5995
95	VULVA	7687
96	BIRD	400
98	WING	5528
99	TAIL OF BIRD	5468
100	EGG	340828
101	CASSOWARY	1543612
102	CHICKEN TAME	5778
103	CHICKEN WILD	5778
104	DOG	966
106	TAIL OF DOG	5468
107	MALE	6396
108	FEMALE	6393
109	FLY	6261
110	FISH	1460
111	CRAYFISH	1543617
112	LOUSE	1510396
114	MOSQUITO	630453
115	PIG	5836
116	MEAT	2300
117	FAT	5624
118	CROCODILE	791
119	FLYING FOX	1478231
120	FROG	1570
121	RAT	6233
122	SNAKE	3388
123	WALLABY	1355268
124	POSSUM TREE	1543631
125	POSSUM GROUND	1543631
126	BUTTERFLY	7316
127	BANANA	369665
128	BETELNUT	1431444
129	BETEL PEPPER VINE	1377747
130	LIME	422609
131	ALANG-ALANG GRASS	1543597
132	PANDANUS	1543627
133	POTATO	160661
134	SUGAR CANE	1310853
135	TARO	1510923
136	TARO SINGAPORE	1510923
137	YAM	1526651
138	YAM (DISCOREA ESCULENTA)	1526651
139	TOBACCO	420209
140	SAGO	420887
141	COCONUT TREE	1311390
142	RIPE COCONUT	419639
143	GREEN COCONUT	419639
144	TREE	3854
147	FILL UP	962533
148	FRUIT	6280
149	SAP	1510865
150	STUMP OF TREE	438953
151	TOP OF TREE	709258
152	TRUNK OF TREE	344683
153	ROOT OF TREE	3269
154	PIECE OF WOOD	741520
156	CANE	1310853
157	STICK	5662
158	BAMBOO	848903
159	BEAN	355931
160	VINE	1510857
161	SHRUB TANGET	3414
162	FIRE	1446
163	LIGHT OF FIRE	2158
164	ASHES	264
165	SMOKE	6968
166	GARDEN	1601
167	FENCE	698534
168	GROUND	5481
169	HOUSE	5517
173	MOON	5729
174	MOUNTAIN	2421
175	PATH	4382
176	SEA	6154
177	SHORE	1201459
178	SAND	3305
180	SKY	7039
181	CLOUD	623
182	FOG	1502
183	SALT	5599
184	STONE	3633
185	STAR	6041
186	SUN	5850
188	VILLAGE	3968
189	WOODS	4168
190	WATER	4118
191	RAIN	3100
194	WIND	4160
196a	ARROW A	420887
196b	ARROW B	420887
196c	ARROW C	420887
196d	ARROW D	420887
197a	SPEAR	408915
197b	FISH SPEAR	358355
198a	AXE IRON	333200
198b	AXE STONE	333200
199	BOW	427040
200	ROPE OF BOW	5465
203	COMB	6157
204	GRASS SKIRT	1510547
205	G-STRING	1543622
206	HAND DRUM	386380
207	SIGNAL DRUM	386380
208	KNIFE	5873
209	WOODEN PLATE	154781
210	SAUCEPAN CLAY POT	6086
212	NETBAG	1507431
213	LOINCLOTH	907107
214	BASKET	6368
215	ONE	6244
216	TWO	6248
220	GOOD	443659
221	BAD	5650
222	DIRTY	5483
224	BIG	5437
225	SMALL	5509
226	BLACK	1341728
227	RED	1333710
228	WHITE	5825
229	YELLOW	6031
230	GREEN	6032
232	COOKED	1505768
234	FULL	6040
235	EMPTY	6659
236	HOT	5637
237	COLD	5639
238	HEAVY	5451
240	LONG	5438
241	SHORT	6746
242	MANY	5423
243	FEW	5500
244	NEW	5484
245	OLD OF OBJECTS	5482
246	RIPE	1378364
248	SHARP	5987
250	STRAIGHT	5994
251	CROOKED	1507521
252	WET	7027
253	DRY	5989
260	HUNGRY	6345
261	THIS	5458
262	THAT	1149393
263	WHO	5490
264	WHAT	5491
266	HOW MANY	353440
266	WHERE	5492
268	MORNING	5840
268b	DAY BREAK	338616
270	AFTERNOON	7455
271	NIGHT	5486
274	NOW	5936
275	YESTERDAY	525186
276	DAY BEFORE YESTERDAY	528467
277	BEFORE	8159
278	TOMORROW	5808
279	DAY AFTER TOMORROW	528451
280	AFTERWARDS	6944
281	HERE	1287831
282	THERE	858309
285	INSIDE THE HOUSE	6571
287	NEAR	869106
288	FAR	5997
289	QUICKLY	6672
290	SLOWLY	335287
291	YES	5567
292	NO	5568
293	ALWAYS	6902
296	BE	6480
297	SLEEP	6519
298	SIT DOWN	6785
299	STAND	6053
300	STAND UP	5772
301	COUGH	373675
302	DIE	6245
303	COME	6056
304	GO	334831
305	GO UP	335553
306	GO DOWN	980418
309	RUN	6323
310	WALK	6054
313	FALL OVER TREE	5622
315	TO FLY	6052
316	JUMP	7622
317	SWELL UP SKIN	6454
318	VOMIT	5617
318b	THUNDERING	509787
318c	LIGHTNING	6811
319	GIVE	6059
320	TALK	4834
321	TALK TO	6656
322	WATCH	7550
323	SEE	6003
324	HEAR	5999
325	BATHE	1295154
326	WASH	6069
327	BITE	5993
328	CARRY ON SHOULDER	1527196
329	CARRY ON BACK	1543608
332	BLOW ON FIRE	1375451
333	BREAK ACROSS	333586
334	DIG	6024
335	SPLIT	6048
336	TEAR	704859
337	CHOP WITH AXE	1329931
338	CUT WITH KNIFE	6043
340	FELL A TREE	1543589
341	BURY	702018
342	PLANT	2836
343	BUY	8061
344	ROAST	903088
345	BOIL	347033
346	BURN	6039
348	EAT	5827
349	FIGHT HIT	6030
350	KILL	6023
351	THROW STONE	6072
352	SHOOT	522875
353	LOOK FOR	6142
354	MAKE	339200
355	WORK	471303
355b	SHARPEN A BOW	1503230
356	HOLD	6060
357	POUR OUT	621011
358	PULL	6071
359	PUSH	6068
360	PUT	429615
361	SCRATCH SKIN	6047
363	SMELL	6521
364	SWALLOW	380335
365	TAKE	7077
366a	TIE	844574
366b	FASTEN	475820
367	CALL OUT	470997
368	CRY	7709
369	LAUGH	5876
370a	SINGSING	5540
370b	DANCE	8136
371	TURN ONESELF	6526
373	THINK	6021
374	DREAM	8448
375	BE AFRAID	1504545
380	BE SICK	7800
