	3	5	7	8	C	E	G	L	N	S	T	X	Z	a	c	b	e	d	g	f	i	h	k	j	m	l	n	q	p	s	r	u	t	w	v	y	x	z
3	40	-10	-10	-10	-10	5	-10	-10	-10	-10	-10	-5	-10	8	-10	-10	29	-10	-10	-10	33	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	11	-10	-10	-10	-10	-10	-10
5	-10	40	1	3	-5	-10	-5	1	1	10	1	-5	-5	-10	0	-5	-10	3	-5	-5	-10	-5	1	1	1	-5	-5	0	-5	0	-5	-10	-5	-5	2	-5	3	1
7	-10	1	40	8	1	-10	-5	2	-5	-5	-5	-5	-5	-10	-5	-5	-10	-5	2	3	-10	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-10	-5	7	1	2	8	-5
8	-10	3	8	40	-5	-10	1	19	-5	-5	2	-5	-5	-10	16	9	-10	0	4	5	-10	1	3	1	2	-5	1	2	10	3	-5	-10	0	-5	0	5	5	1
C	-10	-5	1	-5	40	-10	2	0	1	-5	21	-5	2	-10	-5	-5	-10	3	1	1	-10	2	4	2	-5	-5	6	-5	-5	-5	-5	-10	-5	3	1	6	5	2
E	5	-10	-10	-10	-10	40	-10	-10	-10	-10	-10	-5	-10	5	-10	-10	16	-10	-10	-10	17	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	18	-10	-10	-10	-10	-10	-10
G	-10	-5	-5	1	2	-10	40	-5	-5	-5	-5	-5	-5	-10	3	-5	-10	1	1	0	-10	2	2	2	-5	-5	0	-5	-5	-5	-5	-10	-5	3	-5	-5	2	0
L	-10	1	2	19	0	-10	-5	40	3	-5	-5	-5	8	-10	0	-5	-10	0	1	9	-10	3	-5	-5	-5	-5	-5	-5	0	0	-5	-10	-5	8	-5	8	19	0
N	-10	1	-5	-5	1	-10	-5	3	40	-5	1	-5	2	-10	0	4	-10	11	-5	-5	-10	-5	0	3	-5	-5	-5	-5	-5	-5	2	-10	-5	-5	-5	-5	-5	1
S	-10	10	-5	-5	-5	-10	-5	-5	-5	40	2	-5	-5	-10	-5	3	-10	0	-5	-5	-10	-5	-5	12	-5	-5	1	-5	0	0	0	-10	-5	1	1	-5	-5	-5
T	-10	1	-5	2	21	-10	-5	-5	1	2	40	-5	-5	-10	-5	-5	-10	0	15	0	-10	0	2	7	1	-5	-5	7	-5	0	-5	-10	-5	-5	1	3	1	1
X	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Z	-10	-5	-5	-5	2	-10	-5	8	2	-5	-5	-5	40	-10	4	1	-10	0	-5	-5	-10	-5	-5	-5	-5	-5	2	-5	-5	0	0	-10	-5	0	4	14	-5	-5
a	8	-10	-10	-10	-10	5	-10	-10	-10	-10	-10	-5	-10	40	-10	-10	30	-10	-10	-10	24	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	15	-10	-10	-10	-10	-10	-10
c	-10	0	-5	16	-5	-10	3	0	0	-5	-5	-5	4	-10	40	-5	-10	-5	-5	-5	-10	1	2	0	-5	0	12	5	2	-5	-5	-10	-5	6	0	0	-5	-5
b	-10	-5	-5	9	-5	-10	-5	-5	4	3	-5	-5	1	-10	-5	40	-10	-5	3	0	-10	-5	1	-5	0	7	-5	9	10	-5	0	-10	11	-5	0	-5	-5	0
e	29	-10	-10	-10	-10	16	-10	-10	-10	-10	-10	-5	-10	30	-10	-10	40	-10	-10	-10	30	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	25	-10	-10	-10	-10	-10	-10
d	-10	3	-5	0	3	-10	1	0	11	0	0	-5	0	-10	-5	-5	-10	40	7	10	-10	0	0	2	0	0	0	2	2	-5	3	-10	9	-5	-5	3	1	-5
g	-10	-5	2	4	1	-10	1	1	-5	-5	15	-5	-5	-10	-5	3	-10	7	40	-5	-10	-5	2	3	-5	1	1	-5	-5	-5	1	-10	0	0	-5	-5	-5	2
f	-10	-5	3	5	1	-10	0	9	-5	-5	0	-5	-5	-10	-5	0	-10	10	-5	40	-10	-5	-5	3	-5	2	-5	-5	10	2	-5	-10	2	2	0	-5	-5	-5
i	33	-10	-10	-10	-10	17	-10	-10	-10	-10	-10	-5	-10	24	-10	-10	30	-10	-10	-10	40	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	18	-10	-10	-10	-5	-10	-10
h	-10	-5	-5	1	2	-10	2	3	-5	-5	0	-5	-5	-10	1	-5	-10	0	-5	-5	-10	40	6	0	-5	-5	-5	2	11	0	-5	-10	-5	-5	2	-5	1	2
k	-10	1	-5	3	4	-10	2	-5	0	-5	2	-5	-5	-10	2	1	-10	0	2	-5	-10	6	40	-5	2	-5	-5	7	-5	1	5	-10	-5	-5	-5	1	4	2
j	-10	1	-5	1	2	-10	2	-5	3	12	7	-5	-5	-10	0	-5	-10	2	3	3	-10	0	-5	40	-5	1	5	-5	-5	0	-5	-10	-5	1	2	0	2	0
m	-10	1	-5	2	-5	-10	-5	-5	-5	-5	1	-5	-5	-10	-5	0	-10	0	-5	-5	-10	-5	2	-5	40	-5	-5	2	3	0	-5	-10	1	18	1	4	4	-5
l	-10	-5	-5	-5	-5	-10	-5	-5	-5	-5	-5	-5	-5	-10	0	7	-10	0	1	2	-10	-5	-5	1	-5	40	-5	-5	15	2	12	-10	-5	0	3	-5	-5	-5
n	-10	-5	-5	1	6	-10	0	-5	-5	1	-5	-5	2	-10	12	-5	-10	0	1	-5	-10	-5	-5	5	-5	-5	40	0	5	0	1	-10	-5	1	-5	-5	-5	0
q	-10	0	-5	2	-5	-10	-5	-5	-5	-5	7	-5	-5	-10	5	9	-10	2	-5	-5	-10	2	7	-5	2	-5	0	40	0	2	2	-10	-5	2	-5	-5	2	-5
p	-10	-5	-5	10	-5	-10	-5	0	-5	0	-5	-5	-5	-10	2	10	-10	2	-5	10	-10	11	-5	-5	3	15	5	0	40	-5	3	-10	0	14	4	-5	0	0
s	-10	0	-5	3	-5	-10	-5	0	-5	0	0	-5	0	-10	-5	-5	-10	-5	-5	2	-10	0	1	0	0	2	0	2	-5	40	-5	-10	-5	6	0	0	2	-5
r	-10	-5	-5	-5	-5	-10	-5	-5	2	0	-5	-5	0	-10	-5	0	-10	3	1	-5	-10	-5	5	-5	-5	12	1	2	3	-5	40	-10	1	16	0	-5	2	-5
u	11	-10	-10	-10	-10	18	-10	-10	-10	-10	-10	-5	-10	15	-10	-10	25	-10	-10	-10	18	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	40	-10	-5	-10	-10	-10	-10
t	-10	-5	-5	0	-5	-10	-5	-5	-5	-5	-5	-5	-5	-10	-5	11	-10	9	0	2	-10	-5	-5	-5	1	-5	-5	-5	0	-5	1	-10	40	-5	2	9	-5	-5
w	-10	-5	7	-5	3	-10	3	8	-5	1	-5	-5	0	-10	6	-5	-10	-5	0	2	-10	-5	-5	1	18	0	1	2	14	6	16	-5	-5	40	6	-5	0	2
v	-10	2	1	0	1	-10	-5	-5	-5	1	1	-5	4	-10	0	0	-10	-5	-5	0	-10	2	-5	2	1	3	-5	-5	4	0	0	-10	2	6	40	17	-5	-5
y	-10	-5	2	5	6	-10	-5	8	-5	-5	3	-5	14	-10	0	-5	-10	3	-5	-5	-5	-5	1	0	4	-5	-5	-5	-5	0	-5	-10	9	-5	17	40	-5	0
x	-10	3	8	5	5	-10	2	19	-5	-5	1	-5	-5	-10	-5	-5	-10	1	-5	-5	-10	1	4	2	4	-5	-5	2	0	2	2	-10	-5	0	-5	-5	40	-5
z	-10	1	-5	1	2	-10	0	0	1	-5	1	-5	-5	-10	-5	0	-10	-5	2	-5	-10	2	2	0	-5	-5	0	-5	0	-5	-5	-10	-5	2	-5	0	-5	40
